tokens,label
"Pneumococcal <e2> meningitis </e2> is caused by pneumococcus <e1> bacteria </e1> , which also cause several diseases of the respiratory system , including pneumonia .",Cause-Effect
A local <e1> gallery </e1> is promoting the <e2> work </e2> of a diverse range of artists from across the region .,Message-Topic
"Philip Larkin's poem At Grass employs his sensitive poetic technique to reflect on a <e2> field </e2> of aged <e1> racehorses </e1> , and on the practice of poetry .",Member-Collection
The <e1> book </e1> criticizes the institutionalized nuclear <e2> family </e2> from a feminist perspective .,Message-Topic
Legal <e1> regulations </e1> applying to <e2> professional corporations </e2> typically differ in important ways from those applying to other corporations .,Message-Topic
Three shark attacks in 24 hours threw local <e1> people </e1> into <e2> panic </e2> .,Other
We share a <e1> kinship </e1> of <e2> ideals </e2> with every man and woman on earth who struggles for their God-given rights .,Other
The <e1> novel </e1> depicts the harsh <e2> life </e2> of workers who worked on a crab-fishing and canning boat in the northern seas of Japan .,Message-Topic
"Frank C . Lewis , a representative of a <e2> syndicate </e2> of Chicago <e1> capitalists </e1> , was credited as the source of this information .",Member-Collection
The <e1> helicopter </e1> was landing into the high <e2> grass </e2> during the combat SAR demo with soldiers on board .,Entity-Destination
Also (on a proportional basis) the <e2> rainbow </e2> caused by the <e1> spray </e1> appeared smaller than that of the other rainbow .,Cause-Effect
"The day after they had marvelled at a <e2> fluther </e2> of <e1> jellyfish </e1> , the girl looked up and frowned in confusion .",Member-Collection
The <e1> implant </e1> is placed into the <e2> jaw bone </e2> .,Entity-Destination
The first two <e1> papers </e1> define the contemporary terrorist <e2> threat </e2> while the next three papers examine global counter-terrorism trends .,Message-Topic
Background <e1> music </e1> is added into <e2> slideshows </e2> .,Entity-Destination
The <e1> cops </e1> moved into the floating <e2> hotels </e2> .,Entity-Destination
"Later in the year , from November to April , the black <e1> flood </e1> arrives from the upper <e2> reaches </e2> of the river beyond Timbuktu .",Entity-Origin
The <e2> box </e2> contained a <e1> dollar bill </e1> .,Content-Container
We have imported <e1> grain </e1> into developing <e2> countries </e2> in Asia several times .,Entity-Destination
"When the <e2> statesman </e2> threw together a <e1> draft </e1> of the constitution in 1776 , he probably did not realise he would be working in a couple of the positions specified quite so soon .",Product-Producer
The <e2> changes </e2> now seen in the endometrium are caused by a <e1> hormone </e1> called progesterone .,Cause-Effect
I gave <e1> water </e1> to the <e2> plants </e2> .,Entity-Destination
"The <e1> waste </e1> , a mixture of gasoline , water and caustic soda , gave off toxic <e2> fumes </e2> .",Cause-Effect
The <e1> debris </e1> were thrown into the <e2> air </e2> .,Entity-Destination
<e2> Coconut </e2> <e1> oil </e1> is extracted from the kernel or meat of matured coconut harvested from the coconut palm (Cocos nucifera) .,Entity-Origin
"The mission introduced the spoon bowl , a <e2> plastic container </e2> with <e1> dehydrated food </e1> inside .",Content-Container
He had a <e2> parcel </e2> of twelve <e1> deer </e1> grazing his land as well as some cows so he probably required a larger water supply -- hence the Canal .,Member-Collection
The two <e1> populations </e1> started from the same <e2> gene pool </e2> .,Entity-Origin
The <e1> nape </e1> on the <e2> male </e2> has a turquoise blue wash over the light green base feathers .,Component-Whole
The remaining <e1> articles </e1> run the gamut of <e2> sociological research </e2> .,Message-Topic
"Pearson identified the Bittangabee Bay <e1> ruins </e1> as having been built as a store house by the Imlay brothers , early European <e2> inhabitants </e2> .",Product-Producer
I am draining the <e1> wort </e1> into the fermenting <e2> bucket </e2> .,Entity-Destination
"Case <e1> studies </e1> , some of them book long , have made a notable contribution to scientific <e2> medicine </e2> .",Other
Below is a list of the <e1> books </e1> of the <e2> bible </e2> .,Component-Whole
Other private sector stakeholders have placed <e1> funds </e1> into a separate state-specific <e2> account </e2> .,Entity-Destination
"It is settled that the <e1> argument </e1> of theodicy is from an academical <e2> source </e2> which is not only not epicurean , but even anti-epicurean .",Entity-Origin
<e2> Weak ligaments </e2> are caused by <e1> problems </e1> with collagen (protein fibres in the ligaments) .,Cause-Effect
It is a controversial topic that provokes strong <e1> arguments </e1> for and against the <e2> practice </e2> .,Message-Topic
"Here , in exclusive interview <e1> clips </e1> , he talked about his <e2> career </e2> and what he thought of today's television .",Message-Topic
He puts <e1> creativity </e1> into <e2> use </e2> .,Other
This article discusses the ethics of the Soldier of Fortune's guns-for-hire <e1> advertisements </e1> that resulted in several <e2> murders </e2> across the United States .,Cause-Effect
A <e1> book </e1> authored by an obscure Danish <e2> academic </e2> with little or no expertise in environmental science become an international media event .,Product-Producer
Wales ' Commonwealth hopefuls impressed the gathered <e2> throng </e2> of <e1> spectators </e1> at the Norwich Union International this weekend .,Member-Collection
Auto <e1> ads </e1> during this period tended to feature the <e2> beauty </e2> and engineering strength of the vehicle .,Message-Topic
"In 1905 the <e1> press </e1> reported extensively and vividly on the <e2> disorders </e2> in the cities and countryside , the clamor for basic reform , the political discussions .",Other
<e1> Quotation </e1> is used to indicate the <e2> words </e2> of another speaker or writer .,Other
His famous <e1> book </e1> telling of his <e2> explorations </e2> is valuable not only for its botanical and ethnological record but also for its poetry and narrative .,Message-Topic
In the <e1> interview </e1> Josie speaks about her <e2> childhood </e2> and family in Dudley .,Message-Topic
She threw her <e1> passion </e1> into this <e2> painting </e2> .,Entity-Destination
An 18-gauge or 21-gauge Needle Guide Kit was opened and sonoconductive <e1> gel </e1> was placed inside the sterile <e2> sheath </e2> .,Entity-Destination
The size of the thumbnails is changed with a sliding <e1> bar </e1> on the upper right <e2> corner </e2> of the window .,Other
This music <e1> CD </e1> was misplaced into the wrong <e2> folder </e2> .,Entity-Destination
These <e1> questionnaires </e1> were sent to 144 <e2> countries </e2> .,Entity-Destination
"This <e2> cabin </e2> has 3 beautifully decorated <e1> bedrooms; </e1> one on each level featuring custom made log beds , each with its own bathroom .",Component-Whole
The first <e2> board </e2> was comprised of the county <e1> judge </e1> and the five district court judges of Bexar County .,Member-Collection
They evaluated maximum number of breached assemblies and exposed fuel area for a proposed <e1> shipment </e1> in a <e2> cask </e2> with a test leakage rate .,Other
The <e2> mason </e2> who did the <e1> stonework </e1> did a wonderful job .,Product-Producer
<e2> Philosophy </e2> is a special kind of discourse that uses <e1> language </e1> in order to give us access to extra-linguistic truth .,Instrument-Agency
These <e1> cells </e1> have been injected into the vitreous <e2> cavity </e2> .,Entity-Destination
The <e1> sacrifices </e1> were thrown into the <e2> volcano </e2> .,Entity-Destination
This developing <e1> country </e1> has moved into the 21st <e2> century </e2> .,Entity-Destination
The following good <e2> practices </e2> were pointed out during the <e1> interviews </e1> .,Message-Topic
His <e1> shoes </e1> were in a <e2> box </e2> .,Content-Container
A <e2> mechanic </e2> attaches a socket <e1> wrench </e1> to a bolt .,Instrument-Agency
We have assembled a <e2> brigade </e2> of high-profile master <e1> chefs </e1> who are creating a menu that - like Ballet Kelowna itself - exemplifies the very best of where we live .,Member-Collection
Conflicting loads were stalled while pending <e1> stores </e1> were draining into <e2> memory </e2> .,Entity-Destination
"The <e1> battle </e1> caused a <e2> panic </e2> on the frontier , and settlers in the surrounding counties fled .",Cause-Effect
The famous <e1> poet </e1> moved into a medical <e2> center </e2> .,Entity-Destination
"I've got the <e1> world </e1> in a <e2> jug </e2> , the stopper's in my hand .",Content-Container
"As a general rule , <e1> chapters </e1> later in the <e2> book </e2> are designed to be studied after earlier ones .",Component-Whole
"For decades , most of the nation's renewable <e2> power </e2> has come from <e1> dams </e1> , which supplied cheap electricity without requiring fossil fuels .",Cause-Effect
<e2> Chimpanzees </e2> make <e1> tools </e1> and use them to acquire foods and for social displays .,Product-Producer
The <e2> stapler </e2> comprises a stapling head (2) and an <e1> anvil </e1> (3) .,Component-Whole
"The optical <e2> signal </e2> is generated by an externally modulated tunable <e1> laser </e1> , and introduced to the chip through a tapered fiber .",Cause-Effect
The <e2> byelection </e2> was caused by the <e1> resignation </e1> of Boris Johnson following his election as mayor of London in May .,Cause-Effect
Swissair was a victim of the clandestine wealth-transfer plaguing the productive sector as a result of the falling interest-rate <e2> structure </e2> caused by bond <e1> speculation </e1> .,Cause-Effect
Technological advances have brought the <e1> wars </e1> into the <e2> living rooms </e2> across the world .,Entity-Destination
The moving companies transport personal <e1> items </e1> to your new <e2> home </e2> .,Entity-Destination
This <e2> dishwasher </e2> has the tallest <e1> tub </e1> available* and allows you to wash more than ever before .,Component-Whole
This week we donated handcrafted fabric <e1> works </e1> to the local <e2> church </e2> .,Entity-Destination
Dee's end caps make <e1> pier </e1> piling sidewall <e2> forms </e2> function more efficiently by locking the forms together so they stay in place .,Other
He received reports from the residence hall presidents regarding <e2> evacuation </e2> after the fire <e1> drill </e1> .,Cause-Effect
The <e1> message </e1> was enclosed in a <e2> paper </e2> that was folded and sealed .,Content-Container
"He cleaned his <e2> piano </e2> <e1> keys </e1> , using the proposed tips , but also remembered: playing with clean hands can prevent future headache .",Component-Whole
The Happy Hour <e1> gathering </e1> was the best part of the <e2> event </e2> .,Component-Whole
"The frog is the environmental <e1> indicator </e1> of the <e2> land </e2> , but University of Queensland researchers reckon when it comes to the sea , we should look to the turtle .",Other
Ballots were tallied by an independent third party and locked in a <e1> bag </e1> which was locked in a <e2> safe </e2> .,Entity-Destination
The Worcester Greenstar 30 CDi Conventional <e2> boiler </e2> works with a hot water storage <e1> cylinder </e1> to provide hot water .,Component-Whole
The point of the <e1> article </e1> is that <e2> food </e2> forms an important part of CNY .,Message-Topic
"The <e2> tsunamis </e2> triggered by the massive <e1> earthquakes </e1> plunged those provinces into crisis: the number of people dead and missing has reached to 245 ,782 people .",Cause-Effect
The human body is the product of the earth with all <e1> elements </e1> in it originating from the <e2> earth </e2> .,Entity-Origin
It's basically a trashy pseudo-18th-century <e1> novel </e1> written by a American <e2> historian </e2> at Harvard .,Product-Producer
We have to take into account the reality of the <e2> damage </e2> that has been caused by the <e1> deregulation </e1> of nutritional supplements .,Cause-Effect
The <e1> anthrax </e1> was in a <e2> suitcase </e2> that the Egyptian was supposed to deliver to someone in Canada .,Content-Container
The <e1> chair </e1> was in a <e2> crate </e2> and then completely wrapped in cellophane and then bubble wrap .,Content-Container
"Riviera holiday <e2> club </e2> consists of few <e1> hotels </e1> (look on the left part of the page) which are located on the beach , in a nice and quite park .",Member-Collection
The <e1> catastrophe </e1> is narrated through <e2> metaphor </e2> .,Other
She placed the <e1> bread </e1> in a serving <e2> basket </e2> and passed it around the classroom .,Entity-Destination
"Lesser Black-backed Gulls were capable of producing , on average , almost three times the normal <e1> clutch </e1> of three <e2> eggs </e2> .",Other
The <e1> missile </e1> was placed inside a <e2> canister </e2> and loaded into a launch facility .,Entity-Destination
A Channel 4 <e1> drama </e1> set in a psychiatric unit has been criticised by a TV <e2> watchdog </e2> for its offensive title and for reinforcing prejudice against people with mental health problems .,Other
"<e1> Estrogen dominance </e1> is one of the main causes of <e2> osteoporosis </e2> , cancer , ovarian cysts , fibroids and a host of other female problems in the U .S .",Cause-Effect
Many simple DC power <e2> supplies </e2> regulate the voltage using a shunt <e1> regulator </e1> such as a zener diode .,Component-Whole
He zeroed in on the metal button in the <e1> fly </e1> of my <e2> jeans </e2> as well as the metal eyelets on my shoes as the only sources of metal that likely triggered the metal detector .,Component-Whole
The essential <e2> information </e2> is found in the second <e1> sentence </e1> .,Message-Topic
"iTunes , however , is a different <e1> kettle </e1> of <e2> drums </e2> .",Other
"This is movingly symbolised in the film in the way that people's homes were bare , all their memories and <e1> pictures </e1> were in a <e2> box </e2> .",Content-Container
"The young <e2> man </e2> watched the snow through the <e1> window </e1> , and he wanted to stay in that cafe forever .",Instrument-Agency
"At the same time in this very same region , lived a <e2> tribe </e2> of Muslim <e1> natives </e1> known as Almamy .",Member-Collection
I joined the <e2> group </e2> which took the <e1> bus </e1> to Jura House Gardens for the start of our walk .,Instrument-Agency
"When the <e1> king </e1> had left the <e2> apartment </e2> , she withdrew her hand .",Entity-Origin
It also offers a concise <e1> guide </e1> to the historical documentary <e2> resources </e2> .,Message-Topic
"Wealth is nominally a <e1> superfluity </e1> of <e2> goods </e2> required for subsistence , but the character of these goods varies with the use of wealth .",Other
"His <e1> wife </e1> is a participant in the <e2> blogosphere </e2> , and he doesn't want to ruin the surprise for her .",Other
<e2> Mental disorders </e2> have often been featured in <e1> art </e1> and literature .,Message-Topic
The <e1> scan </e1> started at the rest <e2> potential </e2> toward the positive direction .,Other
The answers to <e1> questions </e1> raised about <e2> rules </e2> governing immigration were wheeled out one after another .,Message-Topic
The parent <e1> parameter </e1> was passed on to the QObject <e2> constructor </e2> .,Entity-Destination
The <e2> tail </e2> is long and thin with a blue central tail <e1> feather </e1> .,Component-Whole
The <e1> boat </e1> basically sails from the harbour to an area of a <e2> beach </e2> where they are supposed to transfer you to a smaller boat and go to the beach .,Entity-Destination
The <e2> early years </e2> of autism is the topic of <e1> discussion </e1> .,Message-Topic
"When we arrived , a large <e1> basket </e1> of goodies was delivered from the <e2> village </e2> manager and our neighbours presented my wife with a rose to welcome us .",Entity-Origin
The great news is that <e1> germs </e1> causing recreational water <e2> illnesses </e2> are killed by chlorine .,Cause-Effect
This is more of a production <e2> machine </e2> stitching 600 <e1> stitches </e1> per minute .,Product-Producer
The EU inserted <e1> experts </e1> into the national <e2> defence </e2> .,Other
The <e1> shop </e1> machined the part with a 1 .25 inch <e2> diameter </e2> .,Other
We store the <e1> tops </e1> for the containers in a shallow <e2> drawer </e2> to reduce the clutter .,Content-Container
The government has poured <e1> billions </e1> into education <e2> reforms </e2> .,Entity-Destination
The campaign's leaders were right to accept the arms <e2> manufacturer's </e2> <e1> pledge </e1> .,Product-Producer
The popular <e1> definition </e1> is rooted in an editorial <e2> error </e2> .,Entity-Origin
"By chance , Toe discovers a rainbow-coloured <e1> rock </e1> with hidden <e2> power </e2> to grant wishes .",Other
That <e1> container </e1> was put inside a <e2> vault </e2> provided by Stark Memorial Funeral Home .,Entity-Destination
"The turbines are making an electricity <e1> system </e1> with low <e2> carbon </e2> emissions even greener - already , in Seattle , more than 90 percent of the power comes from renewable sources .",Other
Amendment 4 removed the <e2> subsection </e2> which applies the <e1> measure </e1> to partner authorities of local authorities .,Instrument-Agency
This <e2> oven </e2> has a meat <e1> probe </e1> so I tried it in the lasagna at a set temperature of 165 degrees .,Component-Whole
"<e1> Rum </e1> is distilled from fermented sugarcane <e2> juice </e2> , fermented sugarcane syrup or fermented molasses .",Entity-Origin
"I am grateful to a former editor of Cogito for permission to reproduce <e1> material </e1> from my <e2> article </e2> 'An introduction to infinity' , 1992 .",Entity-Origin
In the process of engagement the two <e1> blades </e1> of the <e2> scissors </e2> engage a piece of tissue to cut .,Component-Whole
A handpicked <e2> regiment </e2> of 100 <e1> marksmen </e1> under General William Maxwell laid an ambush in the surrounding cover .,Member-Collection
"The <e1> picture </e1> <e2> frame </e2> hangs on the wall in my living room , reminding me that I'm the only child of three to be born and live to my parents .",Content-Container
"Today , for the first time in the UK , full examination <e1> papers </e1> in <e2> chemistry </e2> and mathematics set for 16-year-old school pupils in the People's Republic of China are to be published in English and made widely available .",Message-Topic
The <e2> disruption </e2> has been caused by a sensitivity reaction in the brain to an ingested <e1> substance </e1> .,Cause-Effect
"The enormous <e2> landslide </e2> , which was triggered by an exceptionally heavy <e1> rainfall </e1> event (500 mm in 24 h) on 30 October 1998 .",Cause-Effect
"Most <e2> dieters </e2> are familiar with the usual weight loss <e1> formula: </e1> proper diet , adequate exercise , and a healthier lifestyle .",Instrument-Agency
"In the evening , he threw <e1> wood </e1> into the <e2> bonfire </e2> .",Entity-Destination
"In the framework of a holistic approach to student development and support , Student Services are also the contact point for other functions such as student out-of-class involvement , <e1> student </e1> participation in the university <e2> governance </e2> as well as in the Student Union .",Other
His <e1> speech </e1> outlined urgent <e2> measures </e2> for stimulating the economy .,Message-Topic
More than 20 years have passed since the last <e1> plane </e1> took off from the <e2> earth </e2> .,Entity-Origin
"The <e1> market </e1> is rooted in the <e2> structure </e2> of Zanzibar household economies , and therefore proides an indispensible function in daily life .",Other
"The <e1> ozone layer </e1> is a relatively small constitute part of the Earth's <e2> atmosphere </e2> , although it accounts for a large protection measure .",Component-Whole
Debt-to-income ratios are referred to as the <e1> guidelines </e1> that are used by mortgage <e2> lenders </e2> in order to determine your maximum mortgage amount .,Instrument-Agency
"The <e2> officer </e2> swore an <e1> oath </e1> of secrecy on becoming a sky marshal , so his name can't be revealed .",Product-Producer
The <e1> wine </e1> was stored in a wine <e2> rack </e2> so the cork has been wet to prevent the wine from turning to vinegar .,Content-Container
"The <e1> list </e1> of passengers and crew , handed to the purser just before the steamer left Providence , was locked in a <e2> safe </e2> , and it was not recovered .",Content-Container
The <e2> restaurant </e2> is advertised by the official municipal <e1> website </e1> .,Message-Topic
This pecking order continues all the way down to the most subordinate <e1> wolf </e1> in the <e2> pack </e2> .,Member-Collection
A <e2> rhumba </e2> of <e1> rattlesnakes </e1> plagued a village .,Member-Collection
My <e1> point </e1> was coming from a welding <e2> background </e2> that good goggles are most definitely not hard to find .,Entity-Origin
The complete <e1> examination process </e1> has been carried out according to the pertinent <e2> directives </e2> .,Other
"Even if an abstract theme is at the center of the poem , the <e2> poet </e2> still uses concrete <e1> imagery </e1> in order to make it more accessible .",Instrument-Agency
This <e1> leaflet </e1> gives a summary of holiday <e2> entitlements </e2> .,Message-Topic
The heated <e1> gas </e1> caused a <e2> pyrolysis </e2> on the lower part of oil shale and produced shale oil and oil shale gas are escaped from the retort through exhaust pipe .,Cause-Effect
The signoff <e1> queue </e1> is used for <e2> reports </e2> that the user has not seen before .,Other
We put the <e1> files </e1> into a date-based <e2> directory </e2> like YY/MM/DD .,Entity-Destination
The <e1> couple </e1> hailed from Tezpur <e2> town </e2> in northern Assam .,Entity-Origin
"In her dentist dad's office , with the help of her brother Norman she finds a <e2> bottle </e2> full of pulled <e1> teeth </e1> .",Content-Container
My <e1> guns </e1> are locked in my <e2> room </e2> .,Content-Container
"Thus , aptitude provides no information about critical interactional processes that take place after the <e1> student </e1> has enrolled in the <e2> university </e2> .",Member-Collection
The <e1> scream </e1> was coming from his own <e2> chambers; </e2> he ran through them and drew to a halt at the doorway to Eirin's room .,Entity-Origin
The winner has received the years worth of beauty <e1> products </e1> in a <e2> hamper </e2> .,Content-Container
"He is also a work of fiction , a software <e1> program </e1> written by a <e2> bio-scientist </e2> from St Petersburg and a finalist in a contest to find the world's first thinking computer , staged yesterday at Reading University .",Product-Producer
It was a significant environmental hazard in the copper smelting process when the <e1> emissions </e1> were released into the <e2> atmosphere </e2> .,Entity-Destination
The tonneau <e1> cover </e1> retracts into a <e2> canister </e2> .,Entity-Destination
His reformation of many of the roman laws caused quite a bit of discomfort in the seats of power at the <e2> house </e2> of <e1> senators </e1> .,Member-Collection
Parties have inherited <e1> entitlements </e1> to <e2> property </e2> .,Other
The libel <e1> claimant </e1> has proved that the <e2> statement </e2> was defamatory .,Other
The low oil <e1> prices </e1> caused the <e2> collapse </e2> of the wall and the Russian empire .,Cause-Effect
"By charging odd amounts like 49 or 99 cents , the <e1> cashier </e1> very probably opened the <e2> till </e2> .",Other
The cancer <e1> cells </e1> have increasingly been moving into the <e2> bone </e2> .,Entity-Destination
"This Christmas , <e1> visitors </e1> travelled to the <e2> vineyard </e2> by the free bus .",Entity-Destination
<e1> Geodiversity </e1> has been added into the <e2> objective </e2> .,Entity-Destination
The <e2> pain </e2> was caused by the <e1> parasite </e1> entering the body through the skin during bathing or drinking of infested water .,Cause-Effect
One who lives in the area of the Ural Mountains has a possibility of observing a <e2> bevy </e2> of <e1> roebucks </e1> .,Member-Collection
<e2> Washer </e2> works with a single cup of <e1> water </e1> .,Instrument-Agency
"The <e2> reaction </e2> starts at a rather low <e1> temperature </e1> ( + 5C) , and the calorimeter is run from 40 to 130C .",Cause-Effect
"The <e2> accommodation </e2> briefly comprises of <e1> hall </e1> , downstairs w .c . , lounge , kitchen , three bedrooms and bathroom .",Component-Whole
"Next to Moll lived the celebrated actress Nancy Dawson , a former <e1> harlot </e1> made famous by her lascivious <e2> hornpipe </e2> in Gay's phenomenally popular The Beggar'ss Opera .",Other
He has been a <e2> committee </e2> <e1> member </e1> for Gungarde in Cooktown .,Member-Collection
"The <e1> paw </e1> of the <e2> cat </e2> thus appears to be more sensitive to temperature changes than was believed previously , and its temperature sensitivity may be comparable to that of the hand of the primate .",Component-Whole
On the Seleucid right flank Atticus deployed the elite companions screened by a single <e2> unit </e2> of Scythian horse <e1> archers </e1> .,Member-Collection
A <e1> weapon </e1> was inside a <e2> wooden box </e2> behind a stereo cabinet that was suspended about seven feet above the floor .,Content-Container
While Jackson was in the White House he kept a <e2> stable </e2> of race <e1> horses </e1> -- perhaps the only president of the United States ever to run a racing stable .,Member-Collection
<e1> Job listings </e1> in India have been added to our <e2> careers section </e2> .,Entity-Destination
The <e1> conference </e1> was a part of the Danish <e2> kortdage </e2> and was arranged by Geoforum in cooperation with GI Norden .,Component-Whole
The left-turns are sequenced to correspond to the arrival of the group of <e1> cars </e1> from the upstream <e2> signal </e2> .,Entity-Origin
He atached a handle to the upper part of a <e1> cable </e1> <e2> machine </e2> .,Component-Whole
But we are not at all complacent and we are well aware of the <e1> challenges </e1> around <e2> recruitment </e2> .,Other
This is made possible by unscrewing the three or four screws from the <e1> button </e1> of the <e2> mouse </e2> .,Component-Whole
The influential <e1> towns </e1> of Brownville and Fontanelle were founded that <e2> year </e2> as well .,Other
"On the table , a potato <e1> slice </e1> was already placed in a <e2> beaker </e2> of distilled water .",Content-Container
A chance <e1> discovery </e1> made by a road <e2> worker </e2> in 1956 uncovered a rich find of 360 million year old fish fossils .,Other
The <e2> psychiatrist </e2> killed him with the <e1> drugs </e1> she gave him .,Instrument-Agency
The user-friendly control device is mounted on the <e1> handgrip </e1> of the <e2> wheelchair </e2> .,Component-Whole
The <e2> restaurant </e2> creates dishes using farm fresh products and organic <e1> products </e1> found from local farms like Meadow Mountains and Haystack .,Instrument-Agency
I conducted a training seminar on energy efficiency best <e1> practices </e1> for <e2> engineers </e2> at the Pune Municipal Corporation .,Instrument-Agency
This <e1> poster </e1> advertises the 1898 <e2> exhibition </e2> of the shroud .,Message-Topic
"The <e1> alcohol </e1> was distilled from a <e2> steam bath </e2> , and the lactone was separated from the sodium bromide by extraction with ether .",Entity-Origin
The <e1> survey </e1> documents children's <e2> opinions </e2> on a wide range of social issues .,Message-Topic
My grandmother came here when she was 17 years old with nothing but a <e2> suitcase </e2> full of <e1> oranges </e1> .,Content-Container
"Each <e1> sample </e1> of the felt was enclosed in a separate glass <e2> vial </e2> with blanks of polished lead , silver and copper .",Entity-Destination
The <e2> brothers </e2> wrote this <e1> movie </e1> after coming up with the characters .,Product-Producer
"Elsewhere , you'll find a real embarrassment of riches , with <e1> song </e1> after brilliant hit song from the fertile imaginations of the great Brill Building <e2> writers </e2> .",Product-Producer
"When a murder of crows and a <e2> tittering </e2> of <e1> magpies </e1> get into a turf war over Susie Wu's eucalyptus , the real winner is Susie's cat , Mittens .",Member-Collection
The <e2> police </e2> <e1> report </e1> has cast a spotlight on America's self-help industry .,Product-Producer
My <e1> flight </e1> arrived at the usual <e2> gate </e2> .,Entity-Destination
"The rising popularity of malted whiskies , especially single malt <e2> barley </e2> <e1> spirits </e1> , is evidenced in the growing number of distilleries and labels that have been cropping up over the past few years .",Entity-Origin
"Towne Bank , which has only one retail location , was one of those opportunistic upstarts , a <e1> bank </e1> built on a <e2> bubble </e2> .",Other
"Meanwhile , General Wadsworth with a <e2> detachment </e2> of militia <e1> volunteers </e1> and Winfield Scott's regulars crossed the river to reinforce Captain Wool's position and take command .",Member-Collection
The <e1> helix </e1> runs away from the <e2> nucleotide </e2> .,Other
I derive a tremendous amount of <e2> joy </e2> from <e1> teaching </e1> students in the research laboratory .,Cause-Effect
"Besides a <e2> galaxy </e2> of prominent <e1> footballers </e1> , his colleagues , sportspersons and people from all walks of life paid last respect to the departed footballer .",Member-Collection
"The study found that people who took the <e1> combination </e1> of cholinesterase <e2> inhibitors </e2> (Aricept , Razadyne , or Exelon) and Memantine , showed a significantly slower rate of cognitve decline than those who took only a cholinesterase inhibitor or no drug .",Other
Antelope <e1> horns </e1> grows from the Southern California desert <e2> mountains </e2> across to Arkansas and up into Kansas .,Other
A very serious <e2> problem </e2> ensued from the <e1> events </e1> of the day .,Cause-Effect
The <e1> book </e1> contained not only recipes but also such things as <e2> coloring </e2> of textiles and other things concerning a household .,Message-Topic
He sent the <e1> revellers </e1> into <e2> party mode </e2> .,Other
"Trench pudding is made from broken biscuits , condensed milk , <e1> jam </e1> put into a <e2> canteen </e2> and cooked over a little spirit stove .",Entity-Destination
A first <e2> revolution </e2> was triggered by the growing use of reading and <e1> writing </e1> .,Cause-Effect
"The pertinent <e1> passage </e1> describes the <e2> flag </e2> as a tricolor consisting of green , white and orange bands .",Message-Topic
A witness <e1> statement </e1> contains the witness's factual <e2> account </e2> of the circumstances of the dispute .,Component-Whole
You shaped the <e1> bristles </e1> of the <e2> brush </e2> with clean lather still in it .,Component-Whole
The extrusion blew the <e1> molding </e1> into <e2> paperboard </e2> .,Entity-Destination
The US regulatory <e1> agency </e1> was investigating <e2> allegations </e2> that at least one plane was considered unsafe to fly .,Other
The resulting <e1> biofilm </e1> grows from the <e2> inside </e2> out rather than planktonic organisms attaching and promoting the growth from the outside .,Other
"The <e2> vibration </e2> caused by a heavy goods <e1> train </e1> on the Metropolitan Railway , which runs under the Exhibition premises , had shaken the figure off its balance .",Cause-Effect
The other <e1> offer </e1> was from an old-line investment counsel-mutual fund <e2> company </e2> in New York .,Product-Producer
A similar image search <e1> feature </e1> has been added to the <e2> software </e2> .,Entity-Destination
It also gives some of the history behind the <e1> formation </e1> of Wolf's <e2> dragoons </e2> and some of the battles and campaigns the mercenary regiment has fought .,Other
The <e1> hull </e1> of the <e2> boat </e2> is carved from a single piece of wood .,Component-Whole
"A <e1> metal cube </e1> , one meter on each side , is enclosed in a thermally insulating <e2> jacket </e2> .",Content-Container
"Voltage <e2> surges </e2> or spikes are caused by <e1> lightning </e1> , short circuits , power company equipment problems , and inductive spikes , among many other causes .",Cause-Effect
This is a tattoo <e1> design </e1> an <e2> artist </e2> drew up .,Product-Producer
"The recovery is weak and fragile , and the economic and social <e2> damage </e2> caused by the <e1> crisis </e1> is long-lasting .",Cause-Effect
The cutaneous <e2> mycoses </e2> are caused by a homogeneous group of keratinophilic <e1> fungi </e1> termed the dermatophytes .,Cause-Effect
"Recovery from the global economic <e2> crisis </e2> triggered by the <e1> collapse </e1> of Lehman Brothers was achieved with cooperation from Brazil , Russia , India and China .",Cause-Effect
The <e1> microphone </e1> converts sound into an electrical <e2> signal </e2> .,Cause-Effect
The trapped <e1> mass </e1> takes part in the <e2> movement </e2> and therefore contributes to the inertia of the system .,Other
"Baird's scanning <e2> disk </e2> produced an <e1> image </e1> of 30 lines resolution , just enough to discern a human face , from a double spiral of lenses .",Product-Producer
Several authors have inserted <e1> implants </e1> into <e2> bone </e2> that have been subject to higher radiation doses .,Entity-Destination
The Sabah Wildlife Department has implanted <e1> transmitters </e1> into three <e2> orangutans </e2> .,Entity-Destination
"The <e1> hygrometer </e1> was manufactured in the <e2> spring </e2> of 1995 , and it was calibrated for the first time in June 1995 .",Entity-Origin
"Next up was the climb , a slow steady rock strewn <e2> menage </e2> of eirie <e1> shadows </e1> reflecting off of tall trees and red rocks .",Member-Collection
<e2> Goatfish </e2> use a pair of large chin <e1> barbels </e1> to probe the sea bottom to detect buried prey .,Component-Whole
Olympics have already poured one <e1> billion </e1> into the <e2> economy </e2> .,Entity-Destination
We removed the sharp <e1> items </e1> into the <e2> plastic bag </e2> .,Entity-Destination
Barrymore is singing while painting the flowers on the <e1> wall </e1> in the <e2> shop </e2> .,Component-Whole
My two <e1> friends </e1> have moved into my <e2> apartment </e2> last weekend .,Entity-Destination
I've been a <e1> closet </e1> <e2> writer </e2> for a long time .,Other
